Real-time data - subject to revision
Copyright Environment Canada(2024)

"Real-Time Hydrometric Data for WASI RIVER NEAR ASTORVILLE (02DD024) [ON]"

02DD024,"WASI RIVER NEAR ASTORVILLE"
Description of parameters:
47,"Discharge (unit values)",m³/s

Date (EST),Parameter ,Value (m³/s),Approval,Qualifier
2024-07-04 06:45:00,47,2.67,Provisional,UNSPECIFIED
2024-07-04 06:50:00,47,2.67,Provisional,UNSPECIFIED
2024-07-04 06:55:00,47,2.67,Provisional,UNSPECIFIED
2024-07-04 07:00:00,47,2.67,Provisional,UNSPECIFIED
2024-07-04 07:05:00,47,2.66,Provisional,UNSPECIFIED
2024-07-04 07:10:00,47,2.67,Provisional,UNSPECIFIED
2024-07-04 07:15:00,47,2.66,Provisional,UNSPECIFIED
2024-07-04 07:20:00,47,2.66,Provisional,UNSPECIFIED
2024-07-04 07:25:00,47,2.66,Provisional,UNSPECIFIED
2024-07-04 07:30:00,47,2.66,Provisional,UNSPECIFIED
2024-07-04 07:35:00,47,2.66,Provisional,UNSPECIFIED
2024-07-04 07:40:00,47,2.66,Provisional,UNSPECIFIED
2024-07-04 07:45:00,47,2.65,Provisional,UNSPECIFIED
2024-07-04 07:50:00,47,2.65,Provisional,UNSPECIFIED
2024-07-04 07:55:00,47,2.65,Provisional,UNSPECIFIED
